community_size,#communities
24415,1
12492,1
10769,1
8950,1
8017,1
7997,1
7550,1
6733,1
5885,1
5481,1
5314,1
5251,1
4072,1
3954,1
3638,1
3494,1
3419,1
3380,1
3272,1
3093,1
2981,1
2851,1
2693,1
2664,1
2576,1
2473,1
2472,1
2398,1
2363,1
2280,1
2214,1
2167,1
2151,1
2104,1
2095,1
2037,1
2025,1
1900,1
1832,2
1733,1
1656,1
1595,1
1574,1
1573,1
1491,1
1469,1
1458,1
1451,1
1448,1
1428,1
1356,1
1352,1
1343,1
1335,1
1332,1
1317,1
1210,1
1206,1
1195,1
1191,2
1122,1
1109,1
1053,1
1044,2
1027,1
999,1
994,1
992,1
985,1
977,1
970,2
964,1
934,1
931,1
930,1
928,1
909,1
885,1
873,1
846,1
842,1
822,1
802,1
800,1
792,1
773,1
769,1
768,1
766,1
726,1
700,1
691,1
679,1
659,1
640,1
637,2
636,1
628,1
625,1
609,1
607,1
605,1
597,1
596,1
590,1
583,1
573,1
562,1
534,1
530,1
522,1
509,1
475,1
464,1
446,1
433,1
424,1
405,1
395,1
383,1
377,2
335,1
322,1
308,1
264,1
250,1
230,1
209,1
176,1
164,1
156,1
133,1
126,1
106,1
96,1
69,1
61,1
48,1
43,1
34,2
33,1
30,1
29,1
27,1
23,2
22,1
19,1
17,1
15,1
14,1
13,2
12,2
11,5
10,1
9,3
8,5
7,5
6,10
5,11
4,13
3,38
2,120
1,23859
